CLAVE,CLAVE_OMM,NOMBRE,MUNICIPIO,ESTADO,ORG_CUENCA,CUENCA,SUBCUENCA,TIPO_EST,ORGANISMO,INICIO,FIN,SITUACION,LATG,LATM,LATS,LONG,LONM,LONS,ALTURA,OBSERVACIONES
00002145,,RANCHO WILLIAMS,MEXICALI,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,RIO COLORADO,RIO LAS ABEJAS,CLIMATOLOGICA,CONAGUA-DGE,01/01/1982,31/12/2010,OPERANDO,32,37,28,114,52,40,29.0,
00002146,,COLONIA SAN PEDRO MARTIR,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,AGUA DULCE-SANTA CLARA,SANTA CLARA,CLIMATOLOGICA,CONAGUA-DGE,01/06/1981,31/12/2010,OPERANDO,31,2,15,115,12,15,416.0,
00002148,76055,SAN FELIPE (OBS),MEXICALI,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,AGUA DULCE-SANTA CLARA,BAHIA DE SAN FELIPE,OBSERVATORIO,CONAGUA-SMN,01/01/2000,31/05/2011,OPERANDO,31,1,45,114,50,22,15.0,
00002149,,PUERTECITOS,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,AGUA DULCE-SANTA CLARA,ARROYO SAN FERMIN,CLIMATOLOGICA,CONAGUA-DGE,01/01/1982,31/12/1986,SUSPENDIDA,30,22,2,114,48,30,20.0,
00002150,,PUNTA FINAL,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,ARROYO CAMALAJUE,BAHIA SAN RAFAEL,CLIMATOLOGICA,CONAGUA-DGE,01/02/1982,31/12/1998,SUSPENDIDA,29,44,15,114,18,36,3.0,
00002151,,AGUA DE CHALE,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,AGUA DULCE-SANTA CLARA,ARROYO HUATAMOTE,CLIMATOLOGICA,CONAGUA-DGE,01/04/1982,30/11/2010,OPERANDO,30,38,17,114,45,0,5.0,
00002152,,EJIDO JOSE MARIA PINO SUAREZ,TECATE,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,RIO TIJUANA-ARROYO DEL MANEADERO,RIO LAS PALOMAS,CLIMATOLOGICA,CONAGUA-DGE,01/01/1982,30/09/2010,OPERANDO,32,22,22,116,4,5,1380.0,
00002153,,EJIDO URUAPAN,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,ARROYO LAS ANIMAS-SANTO DOMINGO,ARROYO LAS ANIMAS,CLIMATOLOGICA,CONAGUA-DGE,01/04/1982,30/11/2010,OPERANDO,31,37,7,116,27,18,195.0,
00002154,,COLONIA ZACATECAS,MEXICALI,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,RIO COLORADO,CANAL BACANORA-MONUMENTOS,CLIMATOLOGICA,CONAGUA-DGE,01/01/1982,31/12/2010,OPERANDO,32,3,37,115,3,34,12.0,
00002156,,EL FLORIDO,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,RIO TIJUANA-ARROYO DEL MANEADERO,ASAMBLEA,CLIMATOLOGICA,CONAGUA-DGE,01/12/1988,28/02/2011,OPERANDO,32,28,20,116,49,16,250.0,
00002160,,EJIDO JAMAU,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,ARROYO LAS ANIMAS-SANTO DOMINGO,ARROYO EL SALADO,CLIMATOLOGICA,CONAGUA-DGE,01/11/1988,30/04/1999,SUSPENDIDA,31,30,10,115,43,30,980.0,
00002162,,CAMALAJUE,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,RIO TIJUANA-ARROYO DEL MANEADERO,ASAMBLEA,CLIMATOLOGICA,CONAGUA,01/01/2000,30/09/2001,OPERANDO,29,41,0,114,10,0,20.0,
00002163,76040,EJIDO NUEVO LEON (OBS),MEXICALI,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,RIO COLORADO,RIO HARDY,OBSERVATORIO,CONAGUA-SMN,01/01/1992,31/07/2011,OPERANDO,32,24,46,115,11,31,11.4,
